state_fips,Code,region,division,county_name,state_name,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1999,pop1998,pop1997,pop1996,pop1995,pop1994,pop1993,pop1992,pop1991,pop1990,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006
13,500228,3,5,Catoosa County,Georgia,28271,29100,30200,31300,31800,31800,32900,33600,34600,35600,36991,37537,37943,38074,38490,39332,39633,40551,41360,41981,52100,50709,49386,48266,47879,46354,45260,44228,43319,42691,53282,54935,56475,58119,59646,60736,62016
13,500229,3,5,Charlton County,Georgia,5680,6100,6200,6500,6600,6800,7100,7200,7500,7400,7343,7419,7554,7659,7892,7920,8060,8357,8399,8502,9462,9433,9264,9275,9174,9186,9044,8802,8598,8493,10282,10475,10576,10732,10675,10714,10882
13,500230,3,5,Chatham County,Georgia,187816,182200,182800,182000,181300,188500,194100,199400,199700,201700,202226,205910,209224,209381,210545,211565,212854,215015,216061,215986,225662,225297,225505,225423,225823,225307,223685,221850,219148,217365,232048,233126,234981,235624,237705,238039,241411
13,500231,3,5,Chattahoochee County,Georgia,25813,20300,14800,15000,16800,17400,19500,16400,22400,21900,21732,19927,21329,20551,20044,19408,18539,18186,18433,17469,16654,16408,16337,16130,15925,15674,15958,16414,15191,16787,14882,15967,19327,13195,13372,12406,14041
13,500232,3,5,Chattooga County,Georgia,20541,21400,21300,21800,22300,22300,22300,22500,22000,22000,21856,21892,21732,21690,21814,21798,21885,22001,22155,22295,22858,22748,22897,22892,22824,22720,22561,22381,22372,22233,25470,25836,26055,26440,26408,26499,26442
13,500233,3,5,Cherokee County,Georgia,31059,32700,34700,36700,39300,40600,42600,44300,45800,49100,51699,54327,56171,58695,61861,66476,71560,77813,82872,87048,141686,134352,127110,121187,114743,108930,103226,101917,96818,91393,141903,151738,159584,166894,174859,184360,195327
13,500234,3,5,Clarke County,Georgia,65177,67100,69800,73100,74200,74100,71300,71300,71600,72600,74498,77033,77682,78923,80032,81146,81673,83102,84668,86518,90638,90516,90696,90218,89954,90206,88751,88345,87997,87820,101489,102220,102271,103055,105603,111661,112787
13,500235,3,5,Clay County,Georgia,3636,3500,3700,3700,3600,3500,3600,3600,3600,3600,3553,3554,3526,3479,3513,3509,3414,3383,3421,3426,3524,3493,3461,3398,3405,3428,3450,3405,3347,3346,3357,3383,3345,3352,3308,3232,3180
13,500236,3,5,Clayton County,Georgia,98126,106800,112900,123500,132000,134200,136400,140700,143500,148500,150357,154521,155788,157971,160740,164026,167497,170945,174611,179221,213727,208997,204800,201748,198397,194809,190957,187920,184895,182416,236517,247999,253197,259022,263657,266614,271240
13,500237,3,5,Clinch County,Georgia,6405,6500,6300,6500,6500,6500,6600,6500,6500,6600,6660,6690,6599,6601,6604,6575,6546,6495,6276,6233,6677,6649,6590,6564,6455,6440,6345,6235,6242,6156,6878,6785,6836,6956,6924,6992,6897
13,500238,3,5,Cobb County,Georgia,196793,207100,215100,227700,242900,249600,256500,265800,275800,287300,297718,311490,321994,336050,353206,372905,392568,411475,428287,439006,583541,566060,551288,536992,524760,508747,494889,476494,463136,450812,607751,626842,638411,645304,653841,663528,679325
13,500240,3,5,Coffee County,Georgia,22828,23600,24100,25000,25400,25800,26000,25900,25900,26500,26894,27095,27360,27611,27887,28337,29027,29116,29182,29403,34958,34230,33800,33080,32582,31939,31232,30715,30024,29719,37413,38344,38735,38991,39126,39588,40242
13,500241,3,5,Colquitt County,Georgia,32298,32800,33200,33700,34300,34200,34000,34300,34300,35000,35376,35770,36205,36238,36445,36500,36709,36987,36915,36681,40724,40229,39601,38777,38192,37635,37341,37092,36750,36708,42053,42388,42973,43088,43655,43886,44821
13,500242,3,5,Columbia County,Georgia,22327,23100,23300,25600,27200,29800,32500,34200,35300,38700,40118,41797,43509,45704,48547,51891,55600,58489,60746,63236,93312,90854,88695,86087,83954,80051,76616,72669,70105,66910,89288,91832,94644,97050,100564,103490,106887
13,500243,3,5,Cook County,Georgia,12129,12100,12600,12800,12900,12900,13000,13000,13200,13300,13490,13561,13651,13570,13577,13634,13570,13613,13635,13567,15197,14988,14626,14297,14063,13994,13776,13463,13476,13457,15771,15898,15960,16039,16142,16311,16333
13,120101,3,5,Coweta County,Georgia,32310,33800,34500,35600,36200,36200,36500,36800,37300,38200,39268,40282,40933,41567,42698,44426,45792,47549,49765,51796,89401,85118,80740,76420,72072,67919,63623,60311,57165,54527,89215,94072,97859,101429,105291,109769,115291
13,120102,3,5,Crawford County,Georgia,5748,6000,6000,6200,6500,6700,6900,7000,7300,7500,7684,7340,7393,7484,7688,7833,8093,8339,8581,8826,10414,10655,10731,10428,10156,9847,9575,9241,9222,9030,12495,12495,12562,12647,12817,12837,12823
13,120103,3,5,Crisp County,Georgia,18087,18100,18500,19000,19300,19600,19500,19400,19400,19700,19489,19773,19994,19966,19974,20139,19984,20100,20074,20206,20637,20693,20539,20694,20561,20543,20328,20329,20438,19991,21996,22167,22089,21916,21915,21884,22051
13,120104,3,5,Dade County,Georgia,9910,10600,10700,11400,11800,11700,11700,11800,11800,12200,12318,12172,12207,12145,12277,12302,12527,12599,12722,13024,15344,15057,14604,14477,14150,13929,13552,13346,13295,13190,15154,15521,15718,15894,15960,16129,16233
13,120105,3,5,Dawson County,Georgia,3639,3600,3600,4000,3900,4000,4200,4400,4500,4700,4774,5019,5261,5665,6167,6782,7325,8050,8624,9027,15945,14898,13953,13046,12200,11317,10700,10288,9903,9543,15999,16918,17618,18544,19063,19825,20643
13,120106,3,5,Decatur County,Georgia,22310,22600,22500,23000,23700,24300,24700,24800,24700,25100,25495,25820,25899,25674,25848,25914,25740,25581,25591,25591,27128,27021,26679,26433,26299,26181,26051,25875,25784,25550,28240,28037,28173,28288,28452,28412,28665
13,120110,3,5,DeKalb County,Georgia,415387,440200,462700,467400,478000,477900,479600,487800,488500,480200,483024,487438,492317,499706,507335,518161,526966,533263,538476,542787,596853,592870,590443,587594,582953,576469,568274,561524,555163,548227,665865,681178,688582,695329,702165,713679,723602
13,120111,3,5,Dodge County,Georgia,15658,16200,16500,16500,16700,16800,17000,17000,17100,16800,16955,17086,17063,17251,17261,17346,17349,17218,17317,17537,18146,18120,18087,18030,17778,17788,17866,17710,17887,17647,19171,19266,19271,19429,19470,19521,19700
13,120112,3,5,Dooly County,Georgia,10404,10600,10900,10700,10800,10900,10900,11100,11100,10900,10826,10897,10714,10617,10630,10527,10359,10117,10020,9901,10433,10409,10479,10390,10205,10104,10232,10027,9927,9914,11525,11720,11566,11564,11606,11703,11748
13,120113,3,5,Dougherty County,Georgia,89639,93300,96400,96600,92100,93000,94900,97000,97700,99400,100710,101986,102359,101908,101568,101917,100808,99692,98595,97410,94080,95019,95549,96304,96602,97405,97588,97538,96625,96269,96065,96003,95749,95548,95053,94998,94773
13,120114,3,5,Douglas County,Georgia,28659,31800,33900,40500,44200,45800,47400,48400,50800,53400,54573,55919,57293,58781,60578,62270,64684,66772,68812,70139,91175,89398,86633,84290,81732,79735,77319,75101,73310,71613,92174,95579,98360,101726,106878,112914,119557
13,120115,3,5,Early County,Georgia,12682,12800,12900,12800,12700,12800,12900,12900,12900,13000,13158,13133,13051,12866,12836,12743,12505,12269,12058,12019,12127,12171,12132,12158,12090,12065,12068,12063,11940,11854,12354,12283,12171,12168,12050,12068,12065
13,120116,3,5,Echols County,Georgia,1924,2000,2000,1900,2100,2100,2100,2200,2200,2400,2297,2225,2177,2175,2250,2320,2320,2266,2298,2275,2534,2361,2407,2342,2283,2176,2251,2269,2309,2351,3754,3835,3859,3988,4125,4207,4274
13,120221,3,5,Effingham County,Georgia,13632,14200,14400,15200,15500,15700,15900,16500,17300,18000,18327,18623,19321,19994,20696,21391,22212,22974,23827,24703,38370,36565,35053,33172,31813,30369,28856,27397,26544,26014,37535,39433,41041,42691,44478,46842,48954
13,120223,3,5,Elbert County,Georgia,17262,17200,17700,17800,17800,18000,17900,18300,18300,18400,18758,18954,18991,18923,18963,18896,18914,18889,18959,19020,19363,19322,19190,19220,19135,19134,19054,18959,19018,18950,20511,20571,20634,20639,20814,20741,20768
13,120225,3,5,Emanuel County,Georgia,18357,18800,19700,19700,19900,20100,20400,20600,20800,20700,20795,20957,20885,20826,20904,20936,20924,20771,20671,20641,21042,21017,20993,20960,20875,20853,20922,20688,20639,20579,21837,21877,21806,21971,21915,22186,22600
13,110101,3,5,Evans County,Georgia,7290,8200,8400,7800,7900,8000,8300,8300,8400,8700,8428,8575,8546,8547,8466,8337,8303,8426,8551,8654,10089,9923,9706,9535,9383,9195,9200,8936,8777,8731,10495,10770,11093,11296,11302,11354,11425
13,110102,3,5,Fannin County,Georgia,13357,13700,13900,14100,13800,14100,14500,14600,14700,14800,14748,14824,14899,14995,15091,15356,15449,15742,15815,15860,18945,18575,18152,17744,17372,17032,16586,16543,16205,16048,19798,20343,20896,21208,21632,21812,22319
13,110105,3,5,Fayette County,Georgia,11364,12200,12600,14900,16300,17700,19200,20900,23500,26500,29043,31464,33701,36410,40034,43627,47668,51940,56070,59614,92378,88733,85050,81796,78573,75711,72411,69470,66223,63264,91263,94491,96415,98700,101066,104186,106671
13,110106,3,5,Floyd County,Georgia,73742,75700,76300,77200,78000,78900,79500,80500,80200,79600,79800,79948,79897,79163,79223,79520,79804,80281,81046,81290,85512,85138,84743,84276,83742,83052,82672,82118,81729,81376,90565,91157,92734,93444,94015,94362,95322
13,110107,3,5,Forsyth County,Georgia,16928,19100,19700,21200,22400,23000,23700,24400,25000,26600,27958,28788,29596,30373,31771,33779,36076,38158,40089,42082,96686,86409,76333,69137,62225,56895,52569,49748,46994,44763,98407,109073,116847,124216,131931,140804,150968
13,110108,3,5,Franklin County,Georgia,12784,13000,13400,13800,14000,14300,14500,15000,15000,15100,15185,15438,15495,15659,15664,15985,16158,16361,16467,16637,19311,19061,18541,18131,17761,17524,17371,17145,16925,16688,20285,20729,20894,21172,21376,21560,21691
13,110109,3,5,Fulton County,Georgia,605210,603600,607000,599700,587000,576900,569700,567000,570500,590200,589904,602792,607085,614000,621124,631793,639288,645977,649504,650210,744827,737222,723708,714882,700739,691155,676914,664637,655833,649309,816006,845688,862679,880514,905802,934242,960009
13,110111,3,5,Gilmer County,Georgia,8956,9600,9400,9800,10100,10400,10600,11100,10800,11000,11110,11205,11413,11378,11661,11895,12184,12470,12786,13204,19766,18747,17994,16816,16007,15229,14776,14293,13928,13446,23456,24441,25266,25978,26690,27349,28175
13,110112,3,5,Glascock County,Georgia,2280,2300,2300,2300,2300,2200,2200,2200,2200,2200,2382,2403,2407,2344,2333,2403,2369,2349,2333,2363,2544,2514,2485,2453,2401,2375,2356,2301,2318,2355,2556,2563,2596,2596,2663,2670,2720
13,110113,3,5,Glynn County,Georgia,50528,52100,53300,53600,52600,51200,51700,52600,53200,54600,54981,55682,56270,57025,57809,58410,59163,59919,60976,61804,67945,67187,66512,65857,65342,64846,64674,63710,63287,62705,67568,68500,69233,70068,70696,71639,73630
